,freq
bolder,1
president,1
recommended,1
cousin,1
farther,1
compromise,1
broader,1
legislators,1
fledgling,1
influenced,1
upheaval,1
friendship,1
fortuitous,1
establishes,1
astronomer,1
washington,1
ferguson,1
authors,1
borrowed,1
regularly,1
impressed,1
befriended,1
relates,1
stars,1
migration,1
teacher,1
pulled,1
father,1
algebra,1
formal,1
studious,1
james,1
issued,1
directive,1
situated,1
contributions,1
commemorates,1
plaque,1
territory,1
expansive,1
offered,1
extending,1
peninsula,1
camp,1
crew,1
possessed,1
curvature,1
bodies,1
celestial,1
mathematically,1
chart,1
trigonometry,1
encompass,1
mile,1
booming,1
georgetown,1
alexandria,1
virginia,1
borders,1
boundaries,1
surveyor,1
assistant,1
surveying,1
distances,1
demands,1
command,1
andrew,1
official,1
determining,1
lead,1
marks,1
safer,1
struggle,1
aggressively,1
behave,1
prey,1
encountering,1
bold,1
coloring,1
interested,1
surroundings,1
exploring,1
uninterested,1
displaying,1
approaching,1
readily,1
exhibited,1
assumption,1
comparable,1
observed,1
correlations,1
translate,1
acquired,1
imply,1
distinguish,1
dominance,1
intimidates,1
flees,1
fights,1
submission,1
jostles,1
replaces,1
shaping,1
notably,1
simulation,1
eventually,1
sharp,1
merchant,1
watch,1
insides,1
mechanics,1
clocks,1
owned,1
working,1
gained,1
conventions,1
conform,1
quality,1
improves,1
location,1
editing,1
punctuation,1
multiple,1
reinforce,1
disruptive,1
presence,1
atypical,1
hesitation,1
dangerous,1
faster,1
approached,1
presentation,1
revised,1
improve,1
edited,1
structure,1
initiated,1
ancestry,1
looking,1
domed,1
bit,1
authoritative,1
encouragement,1
samuel,1
applications,1
residential,1
efficient,1
dismaying,1
challenges,1
promising,1
restates,1
seizing,1
arresting,1
capturing,1
backers,1
hesitate,1
innovations,1
blocks,1
stumbling,1
shift,1
decompressing,1
reusing,1
apprehending,1
furthermore,1
economically,1
proven,1
involves,1
initially,1
traditional,1
upwards,1
investors,1
imagined,1
along,1
journey,1
subtle,1
revealed,1
careful,1
attempted,1
selective,1
extremely,1
excerpts,1
copy,1
hired,1
six,1
handed,1
exemplary,1
viewed,1
hundreds,1
works,1
experts,1
hotshot,1
publication,1
book,1
humble,1
ambitions,1
aspired,1
languages,1
infrastructure,1
changing,1
announcing,1
furnishing,1
tables,1
massive,1
heaps,1
proper,1
thing,1
reinforcing,1
formations,1
despite,1
peaked,1
peeked,1
presented,1
key,1
clarify,1
structured,1
revision,1
hydropower,1
compressed,1
generates,1
produces,1
generally,1
fluctuates,1
utilities,1
challenge,1
pose,1
irrelevant,1
capitol,1
rising,1
memorizes,1
magnifies,1
fossilizes,1
activities,1
constitutes,1
kayaking,1
encourages,1
historical,1
strays,1
focus,1
publications,1
tacks,1
contributes,1
north,1
pump,1
salt,1
facility,1
differences,1
ignores,1
impact,1
deleting,1
jersey,1
ohio,1
pilot,1
progress,1
combined,1
electrical,1
germany,1
huntorf,1
alabama,1
causing,1
cavity,1
releases,1
rock,1
caverns,1
drives,1
turbine,1
generating,1
spaces,1
naturally,1
specially,1
handle,1
density,1
pumped,1
inflexible,1
cavern,1
inch,1
fortified,1
similarities,1
openly,1
